Name,'23-'24 Grade,Initial Diagnostic,Rickards Invitational,Boyceville Invitational,Regionals Diagnostics,Regionals,YUSO,BirdSO,States
135,9,"Astronomy(score) 35.5/47, Dynamic Planet(score) 27.33/36",,,,,,,
136,10,"Wind Power(rank) 5/10, Codebusters(rank) 7/20, Optics(rank) 13/21, Fermi Questions (rank) 16/23",,,"Wind Power(rank) 7/11, Optics(rank) 14/15, Fermi Questions Q(rank) 11/18, Ecology(score) 34.97%, Detector Building(rank) 6/11",,,"Detector Building 64/101,  69/117 Optics",
137,10,"Dynamic Planet(score) 30.67/36, Codebusters(rank) 20/20",,,,,,,
138,12,"Ecology(rank) 9/21, Air trajectory(score) 8/15",,,,,,,
139,10,"Disease Detectives(score) 57/83, Forensics(rank) 13/33",,,"Disease Detectives(score) 63/85, Forensics(rank) 11/19",,,,
140,11,"Disease Detectives(score) 50/83, Forestry(score) 21.5/48",,,"Microbe Mission(rank) 21/22, Disease Detectives(score) 53.5/83",,,,
141,11,"Forestry(score) 43/48, No info robot tour, Air trajectory(score) 14/15, Detector Building (rank) 3/13",,"Codebusters 24/207, Detector Building* 56/142, Forestry 20/198, Trial: Geocaching 25/38","Detector Building(rank) 1/11, Forestry(rank) 1/11","Forestry 1/30, Robot Tour 1/30","24/36 Air Trajectory, 8/46 Forestry, 14/30 Robot Tour, 15/35 Tower",,"9/59 Forestry, 16/59 Robot Tour, 54/59 Scrambler, 10/30 Engineering CAD."
142,10,"Geologic Mapping(score) 34/36, Experimental Design.(rank) 8/18","140/170 Experimental Design*, 60/173 Geologic Mapping, 21/159 Wind Power","Experimental Design. 87/171, Write It Do It 138/165, Geologic Mapping 72/191","Write It Do It(score) 32/59, Geologic Mapping(score) 36.6%, Forensics(rank) 17/19, Experimental Design.(rank)6/10, Astronomy(rank) 5/14",,,"87/119 Experimental Design, 89/125 Fossils, 62/125 Geologic Mapping, 77/106 Write It Do It",
143,10,"Astronomy(score) 40.5/47, Chemistry Lab(score) 35/54, Anatomy & Physiology (score) 25.5/77",,,"Astronomy(rank) 2/14, Chemistry Lab(score) 56.25%",,,"Anatomy & Physiology 75/132, Astronomy 122/122",
144,11,"Forestry(score) 9/48, Ecology (rank) 9/21",,,"Forestry(rank) 8/11, Ecology(score) 48.77%",,,,
145,10,"Disease Detectives(score) 35/83, Forestry(score) 9/48",,,,,,,
146,11,"Dynamic Planet (score) 34/36, Fossils (score) 36/37, Astronomy(score) 45.5/47, Geologic Mapping(score) 29/36","99/184 Astronomy, 93/164 Dynamic Planet*, 60/173 Geologic Mapping","Geologic Mapping 72/191, Dynamic Planet 52/189, Fossils 66/197","Geologic Mapping(score) 54.9%, Fossils(rank) 8/13, Dynamic Planet (rank) 2/13, Astronomy(rank)9/14","Astronomy 5/30, Dynamic Planet 2/30, Fossils 4/30","7/46 Astronomy, 3/47 Dynamic Planet, 4/40 Fossils, 5/40 Geologic Mapping",,"11/59 Astronomy, 24/59 Dynamic Planet, 32/59 Fossils, 14/59 Geomapping"
147,10,"Microbe Mission(rank) 20/38, Disease Detectives(score) 40/83",,"Experimental Design. 123/171, Anatomy & Physiology 136/215, Trial: Geocaching 24/38","Disease Detectives(score) 50.67, Microbe Mission(rank) 17/22",,,,
148,11,"Flight(rank) 5/24, Scrambler(score) 14/23, Forestry(score) 12/48",,,"Forestry(rank) 10/11",Alternate ,,"76/130 Forestry, 87/119 Experimental Design,",
149,10,"Chemistry Lab(score) 32/54, Anatomy & Physiology (rank) 16/34",,"Anatomy & Physiology 136/215, Forestry 92/198","Chemistry Lab(score) 50.78%",,,,
150,10,"Ecology(rank) 9/21, Dynamic Planet (score) 25.67/36",,,"Ecology(score) 21.5/65, Dynamic Planet(rank) 5/13, Fossils(rank) 6/13","Dynamic Planet 5/30, Ecology 17/30, Fossils 6/30",,,
151,11,"Build Director, EM for Scrambler, Wind Power",,"Trial: Horticulture 28/37, Trial: Precision Medicine 19/53",,"Scrambler 4/16, Tower 8/22, Air Trajectory 9/19","24/36 Air Trajectory, 29/31 Scrambler, 15/35 Tower, 1/31 Wind Power",,
152,10,"Flight(rank) 9/24, Microbe Mission(rank) 9/33, Disease Detectives(score) 35/83",,"Trial: Horticulture 28/37, Trial: Precision Medicine 19/53",,Alternate,,,
153,11,"Anatomy & Physiology(rank) 15/34, Disease Detectives(score) 16.5/83, Experimental Design(rank) 12/18",,,,,,,
154,12,"Ecology(rank) 4/21, Dynamic Planet(score) 33/36, Anatomy & Physiology(rank) 25/34",,,,,,,
155,10,"Disease Detectives(score) 30/83, Fermi Questions Questions(rank) 10/23, Microbe Mission(rank) 20/33",,,,,,,
156,10,"Fermi Questions Questions(rank) 4/23, Astronomy(score) 36.5/47, Anatomy & Physiology(rank) 34/34",,,,,,,
157,9,"Anatomy & Physiology(rank) 17/34, Chemistry Lab(score) 16/54, Disease Detectives(score) 27/83, Forestry(score) 8.75/48",,"Anatomy & Physiology 89/215, Forestry 82/198",,,,"Anatomy & Physiology 75/132, Disease Detectives 59/126, 92/192 Microbe Mission",
158,10,"Fermi Questions (rank) 20/23, Flight (rank) 11/24, Air Trajectory (score) 11/15",,,"Fermi Questions (rank) 6/18, Also in Air Trajectory",,,,
159,12,"Fermi Questions (rank) 8/23, Flight (rank) 1/24, Air Trajectory (score) 13/15, Tower (score) 33/45, Codebusters (rank) 13/20",,,"In Air Trajectory, Flight ",,,,
160,9,"Anatomy & Physiology (rank) 30/34, Chemistry Lab (score) 17/54, Dynamic Planet (Score) 25/36, Forensics (rank) 26/33",,,"Dynamic Planet (rank) 13/13, Forensics (rank) 4/19",,,,
161,11,"Detector Building (rank) 1/13, Optics (rank) 1/21, Wind Power (rank) 3/10","95/148 Detector Building*, 40/166 Optics, 21/159 Wind Power",,"Optics (rank) 2/15, Wind Power (rank) 1/11, Detector Building (rank) 2/11","Optics 11/23, Wind Power 4/18, Experimental Design 7/27","14/31 Detector Building, 1/31 Wind Power","11/101 Detector Building, 39/117 Optics, 35/113 Wind Power","14/59 Experimental Design, 42/59 Optics, 14/59 Wind Power"
162,11,"Dynamic Planet (Score) 28.67/36, Ecology (rank) 5/21, Fermi Questions (rank) 20/23",,Trial: Horticulture (Team C) 16/37,"Dynamic Planet (rank) 8/13, Ecology (score) 70%",,,"33/129 Dynamic Planet, 103/129 Ecology, ",
163,12,"Codebusters (rank) 15/20, Fermi Questions (rank) 9/23",,,"Codebusters (rank) 14/15, Fermi Questions (rank) 6/18",,,,
164,10,"Fermi Questions (rank) 3/23, Air Trajectory (Score) 9/15, Tower (score) 39/45",,,"Fermi Questions (Rank) 4/18, Also in Tower",,,,
